date,symbol,open,high,low,close
2025-03-10 04:00:00,ETH,2017.28,2066.29,2001.26,2058.45
2025-03-10 04:00:00,BTC,80675.0,82648.0,80124.0,82106.0
2025-03-10 08:00:00,ETH,2057.35,2075.49,2056.39,2072.58
2025-03-10 08:00:00,BTC,82040.0,82661.0,82040.0,82349.0
2025-03-10 12:00:00,BTC,82343.0,83690.0,81313.0,83209.0
2025-03-10 12:00:00,ETH,2074.04,2146.48,2044.35,2129.53
2025-03-10 16:00:00,ETH,2138.01,2138.01,2002.41,2026.67
2025-03-10 16:00:00,BTC,83620.0,83627.0,79367.0,80261.0
2025-03-10 20:00:00,ETH,2019.75,2019.75,1829.01,1864.88
2025-03-10 20:00:00,BTC,80036.0,80036.0,77495.0,78906.0
2025-03-11 00:00:00,ETH,1863.45,1896.06,1854.41,1879.12
2025-03-11 00:00:00,BTC,78863.0,79770.0,78658.0,78784.0
2025-03-11 04:00:00,ETH,1867.87,1881.1,1791.23,1857.27
2025-03-11 04:00:00,BTC,78537.0,79729.0,76784.0,79614.0
2025-03-11 08:00:00,ETH,1851.67,1902.59,1851.67,1902.59
2025-03-11 08:00:00,BTC,79475.0,80541.0,79475.0,80438.0
2025-03-11 12:00:00,ETH,1902.88,1924.8,1902.88,1915.97
2025-03-11 12:00:00,BTC,80348.0,81933.0,80348.0,81793.0
2025-03-11 16:00:00,ETH,1914.14,1918.58,1851.69,1915.81
2025-03-11 16:00:00,BTC,81709.0,81828.0,79271.0,81380.0
2025-03-11 20:00:00,BTC,81233.0,83458.0,80678.0,83122.0
2025-03-11 20:00:00,ETH,1914.5,1958.82,1890.44,1952.18
2025-03-12 00:00:00,ETH,1951.86,1951.86,1920.44,1921.31
2025-03-12 00:00:00,BTC,83135.0,83221.0,82586.0,82799.0
2025-03-12 04:00:00,ETH,1925.1,1930.18,1873.55,1873.55
2025-03-12 04:00:00,BTC,82943.0,83746.0,82142.0,82204.0
2025-03-12 08:00:00,ETH,1868.41,1914.71,1853.93,1914.71
2025-03-12 08:00:00,BTC,82085.0,82423.0,81371.0,82423.0
2025-03-12 12:00:00,ETH,1913.56,1944.18,1884.26,1912.06
2025-03-12 12:00:00,BTC,82422.0,82944.0,82048.0,82944.0
2025-03-12 16:00:00,BTC,83006.0,84074.0,80833.0,81764.0
2025-03-12 16:00:00,ETH,1915.59,1934.44,1841.97,1865.22
